iter	Passed	Remaining
411	3602	2081
412	3610	2071
413	3618	2062
414	3627	2053
415	3635	2044
416	3653	2041
417	3670	2037
418	3679	2028
419	3687	2019
420	3695	2010
421	3703	2001
422	3711	1991
423	3719	1982
424	3727	1973
425	3736	1964
426	3744	1955
427	3752	1946
428	3760	1937
429	3769	1928
430	3777	1919
431	3785	1910
432	3793	1901
433	3801	1891
434	3809	1882
435	3817	1873
436	3825	1864
437	3833	1855
438	3841	1846
439	3849	1837
440	3857	1828
441	3865	1819
442	3873	1810
443	3882	1801
444	3889	1791
445	3898	1782
446	3906	1774
447	3914	1765
448	3922	1756
449	3931	1747
450	3939	1738
451	3947	1729
452	3956	1720
453	3964	1711
454	3973	1702
455	3981	1693
456	3989	1684
457	3997	1675
458	4006	1667
459	4014	1658
460	4022	1649
461	4030	1640
462	4039	1631
463	4047	1622
464	4055	1613
465	4063	1604
466	4072	1595
467	4080	1587
468	4089	1578
469	4097	1569
470	4105	1560
471	4113	1551
472	4121	1542
473	4130	1533
474	4138	1524
475	4146	1515
476	4154	1506
477	4162	1497
478	4170	1488
479	4179	1480
480	4187	1471
481	4196	1462
482	4204	1453
483	4212	1444
484	4221	1436
485	4229	1427
486	4237	1418
487	4245	1409
488	4253	1400
489	4261	1391
490	4269	1382
491	4277	1373
492	4286	1365
493	4295	1356
494	4303	1347
495	4312	1338
496	4320	1330
497	4329	1321
498	4337	1312
499	4345	1303
500	4353	1294
501	4361	1285
502	4369	1276
503	4377	1268
504	4385	1259
505	4393	1250
506	4402	1241
507	4410	1232
508	4418	1224
509	4426	1215
510	4435	1206
511	4443	1197
512	4451	1188
513	4459	1180
514	4468	1171
515	4476	1162
516	4485	1153
517	4493	1145
518	4502	1136
519	4510	1127
520	4518	1118
521	4526	1109
522	4534	1101
523	4542	1092
524	4550	1083
525	4559	1074
526	4570	1066
527	4578	1057
528	4587	1049
529	4595	1040
530	4612	1033
531	4628	1026
532	4636	1017
533	4645	1009
534	4653	1000
535	4661	991
536	4669	982
537	4678	973
538	4686	965
539	4694	956
540	4702	947
541	4711	938
542	4719	929
543	4727	921
544	4735	912
545	4744	903
546	4752	894
547	4760	886
548	4768	877
549	4777	868
550	4785	859
551	4793	851
552	4801	842
553	4810	833
554	4818	824
555	4826	815
556	4834	807
557	4843	798
558	4851	789
559	4859	780
560	4867	772
561	4876	763
562	4884	754
563	4892	746
564	4901	737
565	4909	728
566	4917	719
567	4925	711
568	4933	702
569	4942	693
570	4950	684
571	4959	676
572	4967	667
573	4975	658
574	4984	650
575	4992	641
576	5000	632
577	5009	624
578	5017	615
579	5026	606
580	5034	597
581	5042	589
582	5050	580
583	5058	571
584	5067	563
585	5075	554
586	5083	545
587	5091	536
588	5100	528
589	5108	519
590	5116	510
591	5125	502
592	5133	493
593	5141	484
594	5149	476
595	5158	467
596	5166	458
597	5174	449
598	5183	441
599	5191	432
600	5199	423
601	5208	415
602	5216	406
603	5224	397
604	5232	389
605	5241	380
606	5249	371
607	5258	363
608	5266	354
609	5274	345
610	5283	337
611	5291	328
612	5300	319
613	5308	311
614	5316	302
615	5324	293
616	5332	285
617	5340	276
618	5349	267
619	5357	259
620	5365	250
621	5374	241
622	5382	233
623	5390	224
624	5398	215
625	5406	207
626	5415	198
627	5423	190
628	5432	181
629	5440	172
630	5448	164
631	5456	155
632	5468	146
633	5476	138
634	5485	129
635	5493	120
636	5501	112
637	5510	103
638	5518	94
639	5526	86
640	5534	77
641	5542	69
642	5550	60
643	5558	51
644	5567	43
645	5575	34
646	5583	25
647	5591	17
648	5600	8
649	5608	0
